Last Friday Night (T.G.I.F.),Katy Perry,126.03,2A
Bad and Boujee (feat. Lil Uzi Vert),Migos,127.079,1B
I Gotta Feeling,Black Eyed Peas,127.96,8B
S&M Remix,Rihanna,127.961,3B
We Found Love,Rihanna,127.986,3B
Low (feat. T-Pain),Flo Rida,128.008,3A
Moves Like Jagger,Maroon 5,128.017,10A
Look What You Made Me Do,Taylor Swift,128.07,8A
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,129.024,4B
Somebody That I Used To Know,Gotye,129.059,8B
Thank God I Found You (feat. Joe & 98°),Mariah Carey,129.297,6B
What’s Next,Drake,129.895,5A
THE SCOTTS,THE SCOTTS,129.979,5A
Timber (feat. Ke$ha),Pitbull,129.992,1B
Beautiful Girls,Sean Kingston,129.995,11B
I Kissed A Girl,Katy Perry,129.996,7B
OMG (feat. will.i.am),Usher,129.998,9A
Party Rock Anthem (feat. Lauren Bennet & GoonRock),The True Star,129.998,4A
Sexy And I Know It,LMFAO,130.021,9B
Part Of Me,Katy Perry,130.028,7B
cardigan,Taylor Swift,130.033,5A
Boom Boom Pow,Black Eyed Peas,130.048,11B
Glamorous,Fergie,130.993,8B
Unholy (feat. Kim Petras),Sam Smith,131.121,10B
Dark Horse,Katy Perry,131.931,2B
Down,Jay Sean,132.012,10B
Hold It Against Me,Britney Spears,132.973,5A
Super Freaky Girl,Nicki Minaj,133.01,10B
WAP (feat. Megan Thee Stallion),Cardi B,133.073,3B
I Believe,Fantasia,133.865,4B
All About That Bass,Meghan Trainor,134.052,11B
That's What I Like,Bruno Mars,134.066,3B
Inside Your Heaven,Carrie Underwood,134.443,9B
3,Britney Spears,134.962,4A
bad guy,Billie Eilish,135.128,9B
Someone Like You,Adele,135.187,11B
Way 2 Sexy (with Future & Young Thug),Drake,136.008,10A
Without Me,Halsey,136.041,2B
Old Town Road - Remix,Lil Nas X,136.041,2B
I Like It,Cardi B,136.048,4A
SOS,Rihanna,137.046,9B
Harlem Shake,Baauer,137.825,8B
Sucker,Jonas Brothers,137.958,12A
Confessions Part II,Usher,138.007,3B
Say My Name,Destiny's Child,138.009,4A
Viva La Vida,Coldplay,138.015,4A
With Arms Wide Open,Creed,138.929,8B
Womanizer,Britney Spears,139,1B
Amazed,Lonestar,139.803,3B
We Belong Together,Mariah Carey,139.987,8B
Love in This Club (feat. Young Jeezy),Usher,140.012,8B
Kiss Kiss (feat. T-Pain),Chris Brown,140.043,3A
Bad Day,Daniel Powter,140.046,5B
7 rings,Ariana Grande,140.048,12A
Psycho (feat. Ty Dolla $ign),Post Malone,140.06,4B
Crank That (Soulja Boy),Soulja Boy,140.141,8B
Easy On Me,Adele,141.981,7B
What a Girl Wants,Christina Aguilera,142.137,8B
Ridin',Chamillionaire,143.052,1A
Don't Forget About Us - Radio Edit,Mariah Carey,143.635,3A
drivers license,Olivia Rodrigo,143.875,6B
Locked out of Heaven,Bruno Mars,143.994,7B
